EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
422522,HICKMAN CO.,CLINTON,1/12/2013,1340,Thunderstorm Wind,52, ,0,0,0,10000,KY,CST-6,EG,70343,C,105,PAH,0,0,Broadcast Media, , , ,2,S,2,S,CLINTON,1/12/2013,1340,36.6411,-88.98,36.6411,-88.98,"A grain bin was heavily damaged. The contents of the nearly full grain bin spilled onto surrounding areas, including U.S. Highway 51. The highway was closed.","During the afternoon, a supercell thunderstorm developed along a quasi-stationary front that extended from southwest to northeast along the Lower Ohio River Valley. Deep and strong southwesterly wind flow stretched from Texas to the Great Lakes region ahead of an expansive upper-level trough over the western and central states. Several weak disturbances tracked northeastward, contributing to the development of the isolated supercell. Strong low and mid-level wind fields supported the formation of the supercell, which spawned an isolated EF-2 tornado in Livingston County.|Later on during the night, more storms developed in a region of strong warm advection near a low level jet in excess of 50 knots. Marginal instability developed as a surface warm front lifted northward. This round of storms produced heavy rain and some flash flooding.",1
422501,MCCRACKEN CO.,LONE OAK,1/12/2013,1440,Thunderstorm Wind,56, ,0,0,50000,0,KY,CST-6,EG,70343,C,145,PAH,0,0,Trained Spotter, , , ,2,S,2,SE,PADUCAH,1/12/2013,1445,37.0083,-88.67,37.0647,-88.6108,"Several large trees up to three feet in diameter were blown down across portions of the south side of Paducah. A tree landed on a day care facility. At least a few homes had some shingles blown off. A couple of miles south of Lone Oak, there was damage at a nursery. Tree limbs were blown down, and a barn and greenhouse were damaged.","During the afternoon, a supercell thunderstorm developed along a quasi-stationary front that extended from southwest to northeast along the Lower Ohio River Valley. Deep and strong southwesterly wind flow stretched from Texas to the Great Lakes region ahead of an expansive upper-level trough over the western and central states. Several weak disturbances tracked northeastward, contributing to the development of the isolated supercell. Strong low and mid-level wind fields supported the formation of the supercell, which spawned an isolated EF-2 tornado in Livingston County.|Later on during the night, more storms developed in a region of strong warm advection near a low level jet in excess of 50 knots. Marginal instability developed as a surface warm front lifted northward. This round of storms produced heavy rain and some flash flooding.",2
424834,BALLARD CO.,LA CENTER,1/29/2013,2235,Thunderstorm Wind,52, ,0,0,20000,0,KY,CST-6,EG,70738,C,7,PAH,0,0,Trained Spotter, , , ,3,S,3,S,LA CENTER,1/29/2013,2235,37.0266,-88.98,37.0266,-88.98,Trees were blown down. There was slight structural damage.,"A line of thunderstorms intensified as it moved east from Missouri. The storms increased as they moved into slightly more unstable air associated with a strengthening low level jet. The storms were aided by the approach of a strong upper level trough. Despite weak instability, winds of 90 knots in the lowest 3 kilometers coupled with extreme shear values resulted in damaging winds and isolated tornadoes with the strongest storms. Ahead of the thunderstorms, strong southerly gradient winds gusted up to 45 mph, mainly along and southeast of a line from Owensboro to Murray.",3
428959,MCCRACKEN CO.,CAMMELIA,1/29/2013,2247,Thunderstorm Wind,56, ,0,0,5000,0,KY,CST-6,EG,70738,C,145,PAH,0,0,Emergency Manager, , , ,2,WSW,2,WSW,CAMMELIA,1/29/2013,2247,37.0139,-88.8078,37.0139,-88.8078,A barn roof was partially blown off on Highway 286 near the U.S. 62 intersection.,"A line of thunderstorms intensified as it moved east from Missouri. The storms increased as they moved into slightly more unstable air associated with a strengthening low level jet. The storms were aided by the approach of a strong upper level trough. Despite weak instability, winds of 90 knots in the lowest 3 kilometers coupled with extreme shear values resulted in damaging winds and isolated tornadoes with the strongest storms. Ahead of the thunderstorms, strong southerly gradient winds gusted up to 45 mph, mainly along and southeast of a line from Owensboro to Murray.",4
424835,GRAVES CO.,LOWES,1/29/2013,2250,Thunderstorm Wind,61, ,0,0,10000,0,KY,CST-6,EG,70738,C,83,PAH,0,0,Public, , , ,0,N,0,N,LOWES,1/29/2013,2250,36.88,-88.77,36.88,-88.77,A well house was destroyed. Some shingles were blown off a house.,"A line of thunderstorms intensified as it moved east from Missouri. The storms increased as they moved into slightly more unstable air associated with a strengthening low level jet. The storms were aided by the approach of a strong upper level trough. Despite weak instability, winds of 90 knots in the lowest 3 kilometers coupled with extreme shear values resulted in damaging winds and isolated tornadoes with the strongest storms. Ahead of the thunderstorms, strong southerly gradient winds gusted up to 45 mph, mainly along and southeast of a line from Owensboro to Murray.",5
424836,GRAVES CO.,SEDALIA,1/29/2013,2328,Thunderstorm Wind,56, ,0,0,15000,0,KY,CST-6,EG,70738,C,83,PAH,0,0,Public, , , ,2,SE,3,NNW,TRI CITY,1/29/2013,2328,36.6271,-88.5701,36.6256,-88.5476,A home sustained minor roof damage. A shed was destroyed. A barn roof was blown into a field.,"A line of thunderstorms intensified as it moved east from Missouri. The storms increased as they moved into slightly more unstable air associated with a strengthening low level jet. The storms were aided by the approach of a strong upper level trough. Despite weak instability, winds of 90 knots in the lowest 3 kilometers coupled with extreme shear values resulted in damaging winds and isolated tornadoes with the strongest storms. Ahead of the thunderstorms, strong southerly gradient winds gusted up to 45 mph, mainly along and southeast of a line from Owensboro to Murray.",6
424840,MARSHALL CO.,BENTON,1/29/2013,2345,Thunderstorm Wind,61, ,0,0,5000,0,KY,CST-6,EG,70738,C,157,PAH,0,0,Trained Spotter, , , ,3,SW,3,SW,BENTON,1/29/2013,2345,36.8393,-88.3884,36.8393,-88.3884,Windows were blown out of a home.,"A line of thunderstorms intensified as it moved east from Missouri. The storms increased as they moved into slightly more unstable air associated with a strengthening low level jet. The storms were aided by the approach of a strong upper level trough. Despite weak instability, winds of 90 knots in the lowest 3 kilometers coupled with extreme shear values resulted in damaging winds and isolated tornadoes with the strongest storms. Ahead of the thunderstorms, strong southerly gradient winds gusted up to 45 mph, mainly along and southeast of a line from Owensboro to Murray.",7
424833,MARSHALL CO.,DOGTOWN,1/29/2013,2353,Thunderstorm Wind,61, ,0,0,30000,0,KY,CST-6,EG,70738,C,157,PAH,0,0,NWS Storm Survey, , , ,3,NE,3,NE,DOGTOWN,1/29/2013,2353,36.8738,-88.2759,36.8738,-88.2759,"Metal roofing from a mobile home along U.S. Highway 68 was peeled off and deposited on the highway. Underpinning was stripped off. The mobile home was shifted slightly on its foundation blocks, even though it was strapped down. Porch columns and railings were pushed out on a home across the highway. Cedar trees were blown over. An equipment shed and a storage building were shoved a couple of inches. A carport near the mobile home was tossed across Highway 68.","A line of thunderstorms intensified as it moved east from Missouri. The storms increased as they moved into slightly more unstable air associated with a strengthening low level jet. The storms were aided by the approach of a strong upper level trough. Despite weak instability, winds of 90 knots in the lowest 3 kilometers coupled with extreme shear values resulted in damaging winds and isolated tornadoes with the strongest storms. Ahead of the thunderstorms, strong southerly gradient winds gusted up to 45 mph, mainly along and southeast of a line from Owensboro to Murray.",8
424842,CALLOWAY CO.,MURRAY,1/29/2013,2357,Thunderstorm Wind,56, ,0,0,4000,0,KY,CST-6,EG,70738,C,35,PAH,0,0,Trained Spotter, , , ,0,SW,0,SW,MURRAY,1/29/2013,2357,36.62,-88.32,36.62,-88.32,"The awning was torn off a home, and street signs were blown down along Highway 94.","A line of thunderstorms intensified as it moved east from Missouri. The storms increased as they moved into slightly more unstable air associated with a strengthening low level jet. The storms were aided by the approach of a strong upper level trough. Despite weak instability, winds of 90 knots in the lowest 3 kilometers coupled with extreme shear values resulted in damaging winds and isolated tornadoes with the strongest storms. Ahead of the thunderstorms, strong southerly gradient winds gusted up to 45 mph, mainly along and southeast of a line from Owensboro to Murray.",9
424846,CALDWELL CO.,PRINCETON,1/30/2013,30,Thunderstorm Wind,64, ,0,0,0,0,KY,CST-6,MG,70738,C,33,PAH,0,0,Mesonet, , , ,2,SE,2,SE,PRINCETON,1/30/2013,30,37.0995,-87.8443,37.0995,-87.8443,A wind gust to 74 mph was measured at the mesonet site near Princeton.,"A line of thunderstorms intensified as it moved east from Missouri. The storms increased as they moved into slightly more unstable air associated with a strengthening low level jet. The storms were aided by the approach of a strong upper level trough. Despite weak instability, winds of 90 knots in the lowest 3 kilometers coupled with extreme shear values resulted in damaging winds and isolated tornadoes with the strongest storms. Ahead of the thunderstorms, strong southerly gradient winds gusted up to 45 mph, mainly along and southeast of a line from Owensboro to Murray.",10
